PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat
CP000067,Idleb,Harim,Bab Al Hawa,Shahba'1 (Bab Al Hawa Lower/1),"36.205383,36.79514",IS,241,217,146,111,715,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000066,Idleb,Harim,Bab Al Hawa,Aycha,"36.267583,36.692415",IS,298,287,255,223,1063,0,0,0,0,1,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
CP000065,Idleb,Harim,Sarmada,Ariha,"36.15315,36.6902",IS,84,89,75,74,322,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000064,Idleb,Harim,Bab Al Hawa,Al Ummahat,"36.158152,36.554392",IS,93,89,79,69,330,1,0,1,1,1,0,1. Fully covered,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000063,Idleb,Harim,Sarmada,Al Ummah,"36.247425,36.702068",IS,184,177,156,163,630,0.5,1,1,1,0,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000062,Idleb,Harim,Sarmada,Al Sadaka,"36.131799,36.614381",IS,217,209,194,185,805,0.5,1,1,1,0,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000060,Idleb,Harim,Bab Al Hawa,Al Nahdha,"36.106156,36.387444",IS,98,136,137,122,493,0,1,1,1,1,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000059,Idleb,Harim,Atmeh,Atmeh,"36.389744,36.686102",IS,17554,19919,16165,14006,67644,0.9,1,1,1,1,0.6,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000045,Idleb,Harim,Al Dana,Al Dana,"36.22069,36.705731",IS,0,0,0,0,149,0.1,1,1,1,0.1,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
CP000044,Idleb,Harim,Aqrabat,Aqrabat (Ahl Al-Athar),"36.221512,36.629882",IS,0,0,0,0,934,0,0,0,0,1,1,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,1. Fully covered
CP000017,Aleppo,Jarablus,Jarablus,Jarablus 4 (Jbel),"36.837979,38.046915",IS,1675,1400,1260,925,5260,0,0,1,0,0,0,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000016,Aleppo,Jarablus,Jarablus,Jarablus (Youth Centre),"36.85050328,38.04155",IS,128,100,95,82,405,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000015,Aleppo,Jarablus,Jarablus,Jarablus (Stadium),"36.737979,37.975051",IS,450,300,375,300,1425,0,0,1,0,0,0,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000014,Aleppo,Jarablus,Jarablus,Jarablus (Agricultural bank),"36.7909887,37.919483",IS,450,300,375,300,1425,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000011,Aleppo,Jarablus,Jarablus,Camp 5,"36.82082311,37.9865972",IS,1050,910,1080,825,3865,0,0,1,0,0,0,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000009,Aleppo,A'zaz,Azaz,"Shamarin (Dhahiat Al-Shuhada, Qatari)","36.644082,37.05867",IS,1530,1477,1257,1203,5467,0.8,1,1,1,1,0,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000008,Aleppo,A'zaz,Azaz,Sujjo,"36.644667,37.138829",IS,3293,3176,2705,2588,11762,0,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000007,Aleppo,A'zaz,Azaz,Al Harameen (and extensions),"36.551269,37.200675",TC,0,0,0,0,6700,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000005,Aleppo,A'zaz,Azaz,Bab Al Salame ,"36.656307,37.105711",IS,2273,2275,1888,1679,8115,0,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000004,Aleppo,A'zaz,Azaz,Bab Al Noor,"36.598828,37.220317",IS,2780,2650,1640,1560,8630,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000003,Aleppo,A'zaz,Azaz,Bab Al Iman,"36.611619,37.069128",IS,2730,2580,1570,1490,8370,1,1,1,1,0,0.88,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,2. Mostly covered
CP000002,Aleppo,Afrin,Afrin,Roubar,"36.4116661,37.0203094",IS,534,512,404,325,1755,0.9,0.6,0.1,0.7,0,0.3,2. Mostly covered,2. Mostly covered,3. Partially covered,2. Mostly covered,4. Not covered - N/A,3. Partially covered
CP000421,Idleb,Harim,Qah,Al Rayan,"36.2871806,36.7128917",IS,0,0,0,0,225,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000389,Idleb,Harim,Salam,Al Madiq 2,"36.308975367,36.769929742",IS,79,83,59,58,279,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
